Place_Name,Item,New Name (if needed),Category,Sub1,Sub2,Within_Places,Total_Instances,Latitude,Longitude,Source? (for LatLon),Notes/questions
Milvian Bridge,Rome - Milvian Bridge,,infrastructure,Hydrology,bridge,,1,41.5608,12.2801,https://en.wikipedia.org/wiki/Ponte_Milvio,
Alexander Baths,Constantinople - Alexander Baths,,infrastructure,Populus,baths,,1,,,,
Constantinople - Anastasios Baths,Constantinople - Anastasios Baths,,infrastructure,Populus,baths,,1,,,,
Antikatharos,Alexandria - Antikatharos,,infrastructure,Populus,baths,,1,,,,
Baths of Diocletian,Alexandria - Diocletian Baths,,infrastructure,Populus,baths,,1,41.903,12.498,,
Baths of Heptabizos,Alexandria - Heptabizos Baths ,,infrastructure,Populus,baths,,1,,,,
Baths of Trajan,Alexandria - Trajan Baths,,infrastructure,Populus,baths,,1,,,,
Constantinople - Dagistheos Baths,Constantinople - Dagistheos Baths,,infrastructure,Populus,baths,,1,,,,
"Daphne, Baths",Syracuse - Daphne Baths,,infrastructure,Populus,baths,,1,,,,
Font of Barlaam,Antioch (Syria) - Font of Barlaam,,infrastructure,Populus,baths,,1,,,,
Healing Bath,Alexandria - Healing Bath,,infrastructure,Populus,baths,,1,31.1819,29.895966,"Only mentioend in p. 179 of 
Chronographia; Judith McKenzie proposed that it may be one of the two cisterns to the north of the Lageion, see p. 250, The Architecture of Alexandria and Egypt 300 BC - 700 BC",Note that these are the estimated coordinates
Health Bath,Alexandria - Health Bath,,infrastructure,Populus,baths,,1,31.1819,29.895966,same as above,
Hot Springs,Pythia - Hot Springs,,infrastructure,Populus,baths,,1,,,,
Kantharos Bath,Alexandria - Kantharos Bath,,infrastructure,Populus,baths,,1,,,"Only mentioned as ""In this year the Kantharos, which is a bath in Alexandria, was completed"" in one primary source and detailed information cannot be found at all. See p.249 in Mango, Scott, Greatrex, Mango, Cyril A, Scott, Roger, and Greatrex, Geoffrey. The Chronicle of Theophanes Confessor : Byzantine and Near Eastern History, AD 284-813. Oxford : New York: Clarendon Press ; Oxford University Press, 1997.
",
Koreion Bath,Alexandria - Koreion Bath,,infrastructure,Populus,baths,,1,,,,
Constantinople - Tauros Baths,Constantinople - Tauros Baths,,infrastructure,Populus,baths,,1,,,,
The Great Pool,Alexandria - Great Pool,,infrastructure,Populus,baths,,1,,,,
Great Basilica at the Stoicheion,Alexandria - Great Basilica at Stoicheon,,infrastructure,Ecclesia,basilica,at Stoicheion,1,,,,
The Basilica,Nicomedia - The Basilica,,infrastructure,Ecclesia,basilica,,1,,,,
The Old Basilica,Antioch (Syria) - The Old Basilica,,infrastructure,Ecclesia,basilica,,1,,,,
"Anagyroi of Paulina, Kosmas, Damian","Constantinople - Paulina, Kosmas, Damian",,infrastructure,Ecclesia,monastery,,1,,,,
Constantinople - Antiochos Palace,Constantinople - Antiochos Palace,,infrastructure,Imperium,,,1,41.0074,28.9751,https://en.wikipedia.org/wiki/Palace_of_Antiochos,
"Belisarius, Palace of",Constantinople - Belisarius Palace,,infrastructure,Imperium,,,1,,,,"This may not be a palace, but instead a tower within the Palace of Boukoleon"
"Deuteron, palace of",Constantinople - Deuteron,,infrastructure,Imperium,,,1,,,,
Flacillianai,Constantinople - Flacillianai,,infrastructure,Imperium,,,1,,,,
Constantinople - Helenianai Palace,Constantinople - Helenianai Palace,,infrastructure,Imperium,,,1,,,,
"Hiereia, palace of",Constantinople - Hiereia,,infrastructure,Imperium,,,1,40.581,29.0202,https://en.wikipedia.org/wiki/Hieria,
"Hormisdas, palace of",Constantinople - Hormisdas,,infrastructure,Imperium,,,1,41.0031,28.9753,https://tools.wmflabs.org/geohack/geohack.php?pagename=Boukoleon_Palace&params=41_00_11_N_28_58_31_E_region:TR_type:landmark,This palace was later named Boukoleon after the end of the 6th century by Justinian I; maybe this should be renamed? 
Icundianae Palace,Rhegion (Thrace) - Iucundianae Palace,,infrastructure,Imperium,,,1,,,,
"Lausos, palace of",Constantinople - Lausos,,infrastructure,Imperium,,,1,41.008,28.975,https://www.thebyzantinelegacy.com/palaces,
"Marina, palace of",Constantinople - Marina,,infrastructure,Imperium,,,1,,,,"Cyril Mango: The Palace of Marina, the Poet Palladas and the Bath of Leo VI. In: E. Kypraiou (Hrsg.), Eufrosynon: Afieroma ston Manoli Hatzidaki (Athens 1991), pp. 321–330"
Palace,Chrasis - Palace,,infrastructure,Imperium,,,1,,,,
"Placidia, palace of",Constantinople - Placidia,,infrastructure,Imperium,,,1,,,,"The palace was built by Galla Placidia, near the ta Armatiou quarter in the tenth district of the city between the Gate of the Plataea and the Monastery of the Pantokrator.[1]"
Antioch (Syria) - Praetorium of Magister Militum,Antioch (Syria) - Praetorium of Magister Militum,,infrastructure,Imperium,,,1,,,,
"Sophiai, palace of",Constantinople - Sophiai,,infrastructure,Imperium,,,1,,,,
The Bishop's Palace,Neocaesarea (Pontos) - The Bishop's Palace,,infrastructure,Imperium,,,1,,,,
the Blanchernai,Constantinople - Blanchernai Palace,,infrastructure,Imperium,,,1,41.038324,28.942639,"https://www.google.com/maps/place/41%C2%B002'18.0%22N+28%C2%B056'33.5%22E/@41.038324,28.9415058,18z/data=!3m1!4b1!4m13!1m6!4m5!1m0!1m3!2m2!1d28.942627!2d41.038315!3m5!1s0x0:0x0!7e2!8m2!3d41.0383244!4d28.9426389",https://www.google.com/maps/d/viewer?mid=1aMswOgkKooHAga21Rmz7OW9y6vP8Mah5&ll=41.03841625314753%2C28.943606823822392&z=16
"Therapeia, palace of",Constantinople - Therapeia,,infrastructure,Imperium,,,1,41.133333,29.05,https://tools.wmflabs.org/geohack/geohack.php?pagename=Tarabya&params=41_08_N_29_03_E_region:TR_type:city_source:GNS-enwiki,suburb of Constantinople
Tetrakiones,Constantinople - Hippodrome Stands,,infrastructure,Populus,stands,within Hippodrome,1,,,,
"Theotokos at Blachernai, church of",Constantinople - Theotokos Chapel at Blachernai,,infrastructure,Ecclesia,church,,2,41.0383,28.9425,https://tools.wmflabs.org/geohack/geohack.php?pagename=Church_of_St._Mary_of_Blachernae_(Istanbul)&params=41.0383_N_28.9425_E_type:landmark_region:TR,
Inner Walls (Walls of Constantine),Constantinople - Inner Walls (Walls of Constantine),,infrastructure,Defense,walls,,2,,,,
Constantinople - Kynegion,Constantinople - Kynegion,,infrastructure,Defense,walls,,2,41.034705,28.946087,https://en.wikipedia.org/wiki/Walls_of_Constantinople,This is the approximate location; the Kynegion is a place for public execution and is located in a small area behind the Kynegos Gate
Carthage - The Walls,Carthage - The Walls,,infrastructure,Defense,walls,,2,36.7,10.4,https://www.jstor.org/stable/j.ctt5vkw38.21?Search=yes&resultItemClick=true&searchText=carthage&searchText=walls&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dcarthage%2Bwalls&ab_segments=0%2Fbasic_SYC-5144%2Fcontrol&refreqid=search%3Ac6fb83b3805a621a31701c5f1287d9a1&seq=1#metadata_info_tab_contents,Appears to be same walls as ancient Carthage
Chalcedon - The Walls,Chalcedon - The Walls,,infrastructure,Defense,walls,,2,,,,
Imperium Mausoleum,Constantinople - Imperium Mausoleum,,infrastructure,Imperium,tomb,,2,,,,
Constantinople - Jerusalem,Constantinople - Jerusalem,,infrastructure,Topography,district,,2,,,,
Temple of Tyche,Mazaka (Caesarea) - Temple of Tyche,,infrastructure,Religious Non-Christian,temple,,2,,,,
The Temple of Serapis,Alexandria - Temple of Serapis,,infrastructure,Religious Non-Christian,temple,,2,31.182345,29.89629,"https://www.google.com/maps/place/Serapeum+and+Pompey's+Pillar/@31.182345,29.8957428,19z/data=!4m5!3m4!1s0x14f5c3c5a2084c55:0xba01b18741829299!8m2!3d31.1823466!4d29.8962872","See Pompey's Pillar, the only complete physical remain of the temple"
"Kochlias, staircase of the Great Palace","Constantinople - Kochlias, staircase in Great Palace",,infrastructure,Imperium,staircase,within Great Palace,2,,,,
Constantinople - Hagia Sophia Sanctuary,Constantinople - Hagia Sophia Sanctuary,,infrastructure,Ecclesia,shrine,within Hagia Sophia,2,,,,
Sphendone,Constantinople - Sphendone in Hippodrome,,infrastructure,Populus,racetrack,within Hippodrome,2,,,,
Stama,Constantinople - Stama in Hippodrome,,infrastructure,Populus,racetrack,within Hippodrome,2,,,,
Kyklobion Promontory,Constantinople - Kyklobion Promontory in Hebdomon Palace,,infrastructure,Topography,promontory,,2,,,,
Milion,Constantinople - Milion,,infrastructure,Populus,monument,,2,41.008042,28.978067,https://tools.wmflabs.org/geohack/geohack.php?pagename=Milion&params=41_00_28.95_N_28_58_41.04_E_type:landmark_scale:10000_source:frwiki,
Theodosios I,Constantinople - Theodosios I,Constantinople - Statue of Theodosios I,infrastructure,Populus,monument,,2,41.009537,28.961749,"https://www.google.com/maps/dir/Theodosius+Forumu/Balabana%C4%9Fa,+Forum+of+Theodosius,+Ordu+Cd.,+34134+Fatih%2F%C4%B0stanbul,+Turkey/@41.009541,28.9595603,17z/data=!4m14!4m13!1m5!1m1!1s0x14cab971f0edc9a1:0x1ecad85ea5f14767!2m2!1d28.9617387!2d41.0095451!1m5!1m1!1s0x14cab971f0edc9a1:0x1ecad85ea5f14767!2m2!1d28.9617387!2d41.0095451!3e1",
"Florus, monastery of",Constantinople - Florus,,infrastructure,Ecclesia,monastery,,2,,,,
Monastery of Matrona,Constantinople - Monastery of Matrona,,infrastructure,Ecclesia,monastery,,2,,,,
Monastery of Paul the Leper,Alexandria - Monastery Paul Leper,,infrastructure,Ecclesia,monastery,,2,,,,
Hospice of Sampson,Constantinople - Hospice of Sampson,,infrastructure,Ecclesia,hospice,,2,,,,"The Hospital of Sampson formed a complex together with the Hagia Sophia, Hagia Eirene and some other subsidiary building, and it was served by the same clergy. https://www.byzantium1200.com/sampson.html"
Julian (Sophia) Harbor,Constantinople - Julian (Sophia),,infrastructure,Hydrology,harbour,,2,41.003099,28.967187,"https://www.google.com/maps/place/41%C2%B000'11.2%22N+28%C2%B058'01.9%22E/@41.003088,28.9647565,16.89z/data=!4m14!1m7!3m6!1s0x14cab99a4a1d22b3:0xbb396fd3b268797d!2zS2FkxLFyZ2EgTGltYW7EsSBDZC4sIEZhdGloL8Swc3RhbmJ1bCwgVHVya2V5!3b1!8m2!3d41.0049851!4d28.968579!3m5!1s0x0:0x0!7e2!8m2!3d41.0030992!4d28.9671875",https://en.wikipedia.org/wiki/Kontoskalion (estimated)
Justinian's Hall of the Great Palace,Constantinople - Justinian's Hall in Great Palace,,infrastructure,Imperium,hall,within Great Palace,2,,,,
Triclinium of the Great Palace,Constantinople - Triclinium in Great Palace,,infrastructure,Imperium,hall,within Great Palace,2,,,,
Adrianople (Charsian),Constantinople - Adrianople Gate (Charsian) ,,infrastructure,Defense,gate,,2,41.031358,28.935128,,
Aqueduct which enters the city by the Adrianople (Charsian) Gate,Constantinople - Aqueduct at Adrianople (Charsian) Gate,,infrastructure,Defense,gate,,2,41.015944,28.955556,https://tools.wmflabs.org/geohack/geohack.php?pagename=Valens_Aqueduct&params=41_00_57.4_N_28_57_20_E_type:landmark,https://en.wikipedia.org/wiki/Valens_Aqueduct
Bronze Gate,Constantinople - Bronze Gate in Great Palace,,infrastructure,Defense,gate,,2,,,,
"Rhegion (Rhesion, Polyandriou)","Rhegion Gate (Rhesion, Polyandriou)",,infrastructure,Defense,gate,,2,41.014945,28.921894,,
Taurian Gate,Antioch (Syria) - Taurian Gate,,infrastructure,Defense,gate,,2,,,,
A Suburb,Tripolis (Africa) - Suburb,,infrastructure,Topography,district,,2,,,,
"Daphne, suburb",Antioch (Syria) - Daphne,,infrastructure,Topography,district,,2,,,,
Constantinople - Helenianai,Constantinople - Helenianai,,infrastructure,Topography,district,,2,,,,
Hexakionion (Exakionion/Exokionion),Constantinople - Hexakionion (Exakionion/Exokionion),,infrastructure,Topography,district,,2,,,,
Karya,Constantinople - Karya,,infrastructure,Topography,district,,2,,,,
Pelagios,Constantinople - Pelagios,,infrastructure,Topography,district,,2,,,,
Zeugma,Constantinople - Zeugma,,infrastructure,Topography,district,,2,,,,
Temple of the Jews,Jerusalem - Temple of the Jews,,infrastructure,Religious Non-Christian,temple,,2,31.778,35.236,,"this should be collapsed with ""Synaogogue"" -- but keep somewhere In the notes that it is also referred to as ""temple of the jews"""
Church of Gregory the Miracle Worker,Neocaesarea (Pontos) - Gregory the Miracle Worker,,infrastructure,Ecclesia,church,,2,,,,
"Constantinople - Churches, Monasteries, Chapels","Constantinople - Churches, Monasteries, Chapels",,infrastructure,Ecclesia,church,,2,,,,
"St. Euphemia, Church",Chalcedon - Church of St. Euphemia,,infrastructure,Ecclesia,church,,2,41.007056,28.974748,,
St. Stratonikos,Rhegion (Thrace) - St. Stratonikos,,infrastructure,Ecclesia,church,,2,,,,
Carthage - The Church,Carthage - The Church,Could this be the Basilica,infrastructure,Ecclesia,church,,2,,,,
Jerusalem - The Churches,Jerusalem - The Churches,,infrastructure,Ecclesia,church,,2,,,,
The Huge Church at Karya,Constantinople - The Huge Church at Karya,,infrastructure,Ecclesia,church,,2,,,,
"Theotokos ton metropolitou, church of",Constantinople - Theotokos ton metropolitou,,infrastructure,Ecclesia,church,,2,,,,
Constantinople - Helenianai Baths,Constantinople - Helenianai Baths,,infrastructure,Populus,baths,,2,,,,
The Sacred Baptistery,Alexandria - Sacred Baptistery,,infrastructure,Ecclesia,baptistry,,2,,,,
Aqueduct of Valens,Constantinople - Aqueduct of Valens,,infrastructure,Hydrology,aqueduct ,,2,41.0057,28.572,https://en.wikipedia.org/wiki/Valens_Aqueduct,
"Probus, palace of",Constantinople - Probus,,infrastructure,Imperium,,,2,,,,
Tribunal,Constantinople - Tribunal in Hebdomon Palace,,infrastructure,Imperium,tribunal,within Hebdomon Palace,3,,,,
Antioch (Syria) - The Palace,Antioch (Syria) - The Palace,,infrastructure,Imperium,,,3,36.226687,36.16914,,"This is the approximate location; references see: the Wilber map; Giovanni Uggeri, Antiochia sull'Oronte nel IV secolo d.C., in coll. S. Patitucci; A. ASA EGER, (Re)Mapping Medieval Antioch: Urban Transformations from the Early Islamic to theMiddle Byzantine Periods"
Theodosian Walls (Land Walls),Constantinople - Theodosian Walls (Land Walls),,infrastructure,Defense,walls,,3,,,,
Alexandria - Kynegion,Alexandria - Kynegion,,infrastructure,Populus,theater,,3,31.194628,29.903955,"see The chronicle of Theophanes Confessor AM 5870, it is refered to the Alexandria Amphitheatre that was build in 4th century",
Temple of Fire,Thebarmais - Temple of Fire,,infrastructure,Religious Non-Christian,temple,,3,,,,
"Stephen in the Daphne, chapel of",Constantinople - Stephen in the Daphne,,infrastructure,Ecclesia,shrine,,3,,,,
Column of the Tauros,Constantinople - Column of the Tauros,,infrastructure,Populus,monument,,3,,,,
Statue of Constantine on Column of the Tauros,Constantinople - Statue of Constantine on Column of the Tauros,,infrastructure,Populus,monument,,3,,,,
Statue of Eudoxia,Constantinople - Statue of Eudoxia,,infrastructure,Populus,monument,,3,41.009,28.979,https://www.thebyzantinelegacy.com/monuments,
"Dalmatos/Delmatos , monastery of",Constantinople - Dalmatos/Delmatos,,infrastructure,Ecclesia,monastery,,3,,,,
"Kallistratos, monastery of",Constantinople - Kallistratos,,infrastructure,Ecclesia,monastery,,3,,,,
Neorion Harbor,Constantinople - Neorion,,infrastructure,Hydrology,harbour,,3,41.0166,28.975,https://tools.wmflabs.org/geohack/geohack.php?pagename=Neorion_Harbour&params=41_1_0_N_28_58_30_E_region:TR-34_type:landmark,
Carthage - The Harbor,,Bytra,infrastructure,Hydrology,harbour,,3,36.7,10.19304,,
Augusteus (hall) ,Constantinople - Augusteus (hall) ,,infrastructure,Imperium,hall,,3,,fc,,
Carthage - The Gates,Carthage - The Gates,,infrastructure,Defense,gate,,3,,,,
Constantinople - The Gates in Great Palace,Constantinople - The Gates in Great Palace,,infrastructure,Defense,gate,,3,,,,
Forum of Constantine,Constantinople - Forum of Constantine,,infrastructure,Populus,forum,,3,41.0087,28.971644,"https://www.google.com/maps/place/Konstantin+Forumu/@41.0085098,28.9690902,17z/data=!3m1!4b1!4m5!3m4!1s0x14cab9a8ead1be2f:0x3c02ec9aa00f8ace!8m2!3d41.0085098!4d28.9712789",
Campus,Constantinople - Campus in Hebdomon Palace,,infrastructure,Topography,field,within Hebdomon Palace,3,,,,
Secretum,Constantinople - Secretum,,infrastructure,Imperium,court,within Great Palace,3,,,,
Berytos - The Church,Berytos - The Church,,infrastructure,Ecclesia,church,,3,,,,
Carthage - The Churches,Carthage - The Churches,,infrastructure,Ecclesia,church,,3,,,,Any idea what this might be?
Basilica of Constantinople (Of Illos),Constantinople - Basilica of Constantinople (Of Illos),,infrastructure,Ecclesia,basilica,,3,,41.0084,28.9779,On the sight of Yerebatan Sarnıcı.https://www-jstor-org.ezproxy.wesleyan.edu/stable/pdf/506250.pdf?refreqid=excelsior%3A9d3f8685f08247fd3c48572430edff41
Hagia Sophia Great Baptistery,Constantinople - Hagia Sophia Great Baptistery,,infrastructure,Ecclesia,baptistry,within Hagia Sophia,3,,,,
The Palatium,"I am assuming this refers to the Palatine Hill? if so, it should get a designation as such in column E (NK 1/13/20)",,infrastructure,Imperium,,,3,41.5318,12.2913,https://en.wikipedia.org/wiki/Palatine_Hill,
Long Walls (Anastasian Walls),Constantinople - Long Walls (Anastasian Walls),,infrastructure,Defense,walls,,4,,,,
Nisibis - The Walls,Nisibis - The Walls,,infrastructure,Defense,walls,,4,,,,
Temple of Apollo,Antioch (Syria) - Temple of Apollo,,infrastructure,Religious Non-Christian,temple,,4,36.127942,36.143143,"This is not the exact location and need to be further confirmed. So far I only know ""The Temple of Apollo must be below the famous springs (Bell el-Ma)",
Xerolophos (Column),Constantinople - Xerolophos (Column),,infrastructure,Populus,monument,,4,,,,
"Bassanios, monastery of",Constantinople - Bassanios,,infrastructure,Ecclesia,monastery,,4,,,,
"St. Mamas, Monastery of",Constantinople - St. Mamas,,infrastructure,Ecclesia,monastery,,4,40.999682,28.924072,,
"The Sleepless Ones, monastery of",Constantinople - The Sleepless Ones,,infrastructure,Ecclesia,monastery,,4,40.996,28.929,https://www.livius.org/articles/place/constantinople-istanbul/constantinople-photos/constantinople-monastery-of-st-john-of-studius/,"Most likely meaning the Monastery of St. John the Studius, whose monks belonged to the order of the Akoimati, ""sleepless ones"""
A Hill,Carthage - A Hill,probably referring to Byrsa hill,infrastructure,Topography,hill,,4,36.8525,10.3228,https://www.jstor.org/stable/641293?Search=yes&resultItemClick=true&searchText=byrsa&searchText=hill&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dbyrsa%2Bhill%26amp%3Bfilter%3D&ab_segments=0%2Fbasic_SYC-5144%2Fcontrol&refreqid=search%3Afb9396864bf1a01e738117bbebceaaf7&seq=1#metadata_info_tab_contents,
Forum Bovis (of the Bull),Constantinople - Forum Bovis (of the Bull),,infrastructure,Populus,forum,,4,,,,
Augustaion,Constantinople - Augustaion,,infrastructure,Imperium,court,,4,41.008,28.979,https://en.wikipedia.org/wiki/Augustaion,
"Akakios, church of",Constantinople - Akakios,,infrastructure,Ecclesia,church,,4,,,,
Diippion,Constantinople - Diippion,,infrastructure,Ecclesia,church,,4,,,"According to Mango's footnote on 565, this refers to ""the gates of the hippodrome and the space immediately in front of them"" -- this makes sense, as the Diippion is nearly always mentioned with close proximity to the hippodrome. So how should we put it on the map? Is it ""within"" the hippodrome? NOTE: if so, this is no longer a 'church' within 'ecclesia', the catagories will have to get changed",
"St. Laurence, Church of",Constantinople - St. Laurence,,infrastructure,Ecclesia,church,,4,,,St. Laurentius?,
Constantinople - Zeuxippos Baths,Constantinople - Zeuxippos Baths,,infrastructure,Populus,baths,,4,41.0023,28.5833,https://en.wikipedia.org/wiki/Baths_of_Zeuxippus,
"Eleutherios, palace of",Constantinople - Eleutherios,,infrastructure,Imperium,,,4,,,,"According to Mango's footnote on p642, In the neighborhood of Aksaray (near the habor of Theodosius, which is also known as the harbor of Eleutherios)"
"Hebdomon, Palace","Constantinople - Hebdomon, Palace",,infrastructure,Imperium,,,4,40.9831,28.8536,https://tools.wmflabs.org/geohack/geohack.php?pagename=Bak%C4%B1rk%C3%B6y&params=40_58_59_N_28_51_13_E_type:city_region:TR,
Mesē,Constantinople - Mesē,,infrastructure,Populus,streets,,5,41.0082 to 41.0096,28.9743 to 28.9619,https://www.medievalists.net/2011/06/the-mese-main-street-of-constantinople/,"this should be a shape file? or at least a line? The mese is the main thoroughfare, a street through much of the city. This is in the CP Palimpsest map, but drawn off of the wikimap. How do we want to do this? "
Hall of the Nineteen Couches,Constantinople - Hall of the Nineteen Couches in Great Palace,,infrastructure,Imperium,hall,within Great Palace,5,,,,
The Chalke,Constantinople - The Chalke in Great Palace,,infrastructure,Defense,gate,,5,,,,
"Holy St. Eirene, church of",Constantinople - Holy St. Eirene,,infrastructure,Ecclesia,church,,5,41.035,28.5852,https://en.wikipedia.org/wiki/Hagia_Irene,
"Magnaura, palace of",Constantinople - Magnaura,,infrastructure,Imperium,,,5,41.0082,28.9794,"https://www.google.com/maps/place/Sultan+Ahmet,+Fatih%2F%C4%B0stanbul,+Turkey/@41.0060699,28.9755988,16z/data=!4m5!3m4!1s0x14cab9bd261b00a9:0xb04b7944cc9399c6!8m2!3d41.0042322!4d28.9783349",
Holy Sepulchre,Jerusalem - Holy Sepulchre Church,,infrastructure,Ecclesia,church,,6,31.7785,35.2296,https://latitude.to/articles-by-country/il/israel/849/church-of-the-holy-sepulchre,
"St. John the Forerunner in Studios, monastery of",Constantinople - St. John the Forerunner in Studios,,infrastructure,Ecclesia,monastery,,6,40.5946,28.5543,,
Octagonal Church (The Great Church),Antioch (Syria) - Octagonal Church (The Great Church),,infrastructure,Ecclesia,church,,6,36.2166,36.1827,https://www.latlong.net/,
Constantinople - Kathisma (Imperium Box) in Hippodrome,Constantinople - Kathisma (Imperium Box) in Hippodrome,,infrastructure,Imperium,room,within Hippodrome,7,,,,
Mount of Olives,Jerusalem - Mount of Olives,,infrastructure,Topography,hill,,7,31.7779,35.2457,https://www.latlong.net/,
Constantinople - Blachernai,Constantinople - Blachernai,,infrastructure,Topography,district,,7,41.0337,28.9375,https://latitude.to/articles-by-country/tr/turkey/41273/blachernae,
"Anastasia, chapel/church of",Constantinople - Anastasia,,infrastructure,Ecclesia,church,,7,41.0047,28.9722,," according to this article, Janin places it in this Portico of Domninus -- should it be housed within it in the spread sheet? https://www-jstor-org.ezproxy.wesleyan.edu/stable/pdf/44170436.pdf?refreqid=excelsior%3Ab9a108b81f7b52ea10f1a39bba292c77"
Bishop's Palace (Patriarchate),Constantinople - Patriarchal Palace,,infrastructure,Imperium,,,7,,,,
"Dios/Dias, monastery of",Constantinople - Dios/Dias,,infrastructure,Ecclesia,monastery,,9,,,,"Is this perhaps another name for the Monastery of Stoudios? EDIT: According to Mango's footnote to AM 5980: ""On the outskirts of Constantinople but within the walls, the monastery had been founded by the Syrian monk Dios with support from Theodosios I. It was probably the second oldest monastery in Constantinople after that of Dalmatos. See Janin, Eglises, 97-9."" NK "
Sykai/Galata/Pera,Constantinople - Sykai/Galata/Pera,,infrastructure,Topography,district,,9,,,,
Calvary/Golgotha,Jerusalem - Calvary/Golgotha,,infrastructure,Topography,hill,,11,31.778611,35.229444,https://tools.wmflabs.org/geohack/geohack.php?pagename=Calvary&params=31_46_43_N_35_13_46_E_source:kolossus-jawiki,
Golden,Constantinople - Golden Gate,,infrastructure,Defense,gate,,11,40.993177,28.922416,,
Constantinople - Blachernae Great Church,Constantinople - Blachernae Great Church,,infrastructure,Ecclesia,church,,11,41.038,28.943,https://www.thebyzantinelegacy.com/churches,
"Apostles, church of  the",Constantinople - Apostles,,infrastructure,Ecclesia,church,,12,41.111,28.5659,https://en.wikipedia.org/wiki/Church_of_the_Holy_Apostles,
Carthage - The Palace,Carthage - The Palace,,infrastructure,Imperium,,,12,,,,
Praetorium,Constantinople - Praetorium,,infrastructure,Populus,building,,18,,,,this is also the strategion (which we also might not have real coordinates for)
Senate,Constantinople - Senate in Great Palace,,infrastructure,Senatus,,within Great Palace,37,,,,
Hagia Sophia (Great Church),Constantinople - Hagia Sophia (Great Church),,infrastructure,Ecclesia,church,within Hagia Sophia,39,41.0031,28.5848,https://en.wikipedia.org/wiki/Hagia_Sophia,
Hippodrome,Constantinople - Hippodrome,,infrastructure,Populus,stadium,within Hippodrome,41,41.006389,28.975833,https://tools.wmflabs.org/geohack/geohack.php?pagename=Hippodrome_of_Constantinople&params=41_00_23_N_28_58_33_E_region:TR_type:landmark_source:dewiki,
"Great Palace, the",Constantinople - Great Palace,,infrastructure,Imperium,,,45,41.021,28.5838,https://en.wikipedia.org/wiki/Great_Palace_of_Constantinople,
